#{"t_start": 1748618611.923424, "env_id": null}
r,l,t
71.692223,50,45.011457
70.874322,50,45.040379
72.971112,50,45.069821
76.467312,50,45.09976
71.993405,50,45.128702
55.760904,50,45.158639
42.789703,50,45.19057
69.815664,50,45.220494
55.361816,50,45.249435
83.842267,50,45.279376
80.027058,50,45.308313
72.426815,50,45.337303
43.132037,50,45.367237
76.746815,50,45.397265
84.206916,50,45.427091
52.418899,50,45.459005
42.862927,50,45.487927
81.517342,50,45.517848
79.950638,50,45.54677
71.673894,50,45.576692
77.954051,50,45.605612
50.147543,50,45.635533
56.092657,50,45.664455
71.549662,50,45.699362
66.809086,50,45.729283
68.898241,50,45.758205
63.673022,50,45.788122
29.861515,50,45.817107
64.814195,50,45.847023
74.631404,50,45.876182
67.163538,50,45.906099
66.597012,50,47.043966
76.732651,50,47.085388
78.217569,50,47.122289
72.402115,50,47.156198
77.447738,50,47.1931
82.223926,50,47.230968
69.704918,50,47.260929
31.763702,50,47.289865
58.571477,50,47.319804
17.018165,50,47.348306
68.084886,50,47.377233
71.725717,50,47.406151
75.341305,50,47.439063
64.524846,50,47.473556
75.290649,50,47.503478
65.817931,50,47.532399
80.716818,50,47.583263
79.598019,50,47.612186
53.564528,50,47.663049
78.780614,50,47.704967
39.41116,50,47.7469
72.273892,50,47.777823
76.364341,50,47.808756
43.615269,50,47.838693
72.148965,50,47.868628
69.231246,50,47.89956
64.280882,50,47.929495
71.821381,50,47.962418
48.940285,50,48.013715
63.106839,50,48.042651
80.065619,50,48.071591
72.933717,50,48.101249
55.348506,50,48.131169
74.826764,50,48.160093
49.21253,50,48.189028
76.77438,50,48.221233
78.947951,50,48.250155
66.128042,50,48.280075
82.946165,50,48.309617
83.892112,50,48.339535
89.658639,50,48.368458
81.558071,50,49.552042
80.303635,50,49.594105
54.259331,50,49.628035
40.251111,50,49.660029
87.237349,50,49.697011
78.210472,50,49.731982
83.723663,50,49.761923
51.001478,50,49.791865
70.151206,50,49.820931
77.499773,50,49.850922
75.567472,50,49.881007
43.079493,50,49.910106
79.997814,50,49.940116
67.101613,50,49.989087
74.99585,50,50.018062
21.10191,50,50.047102
79.93928,50,50.077106
77.675013,50,50.107283
2.976636,50,50.153361
81.904969,50,50.186291
78.188194,50,50.240184
57.600253,50,50.291286
84.53119,50,50.511919
70.092355,50,50.540846
47.084251,50,50.589718
74.380223,50,50.624622
80.928347,50,50.653545
43.038355,50,50.682466
84.220409,50,50.716377
56.405111,50,50.745307
51.452117,50,50.774229
84.146213,50,50.804149
73.652749,50,50.834088
70.379413,50,50.862527
62.241528,50,50.892446
71.747109,50,50.921371
79.826052,50,50.9528
79.764619,50,50.981749
78.719874,50,51.011685
82.17095,50,51.040639
83.507604,50,51.091825
44.371806,50,52.250002
35.319516,50,52.286909
75.39429,50,52.330792
81.321605,50,52.371688
76.612235,50,52.415571
22.65373,50,52.447129
79.975208,50,52.478047
74.333034,50,52.506993
59.230234,50,52.535914
47.114971,50,52.565845
84.322214,50,52.596422
80.179187,50,52.625344
84.815504,50,52.655264
80.190143,50,52.685184
89.075458,50,52.7171
41.131237,50,52.746022
65.585057,50,52.775666
76.232015,50,52.805585
78.378519,50,52.834507
67.305385,50,52.864428
84.68285,50,52.892355
84.887444,50,52.922274
44.294401,50,52.951197
66.580164,50,52.983111
65.844045,50,53.01304
78.179754,50,53.041946
76.389907,50,53.071403
82.530242,50,53.101323
75.72845,50,53.130246
62.325905,50,53.182107
48.624632,50,53.229705
35.911846,50,53.270597
82.114711,50,53.304505
67.831363,50,53.335205
75.769901,50,53.364129
79.758703,50,53.393055
78.622873,50,53.421982
89.540935,50,53.450905
38.811502,50,53.482819
85.391076,50,53.511743
61.30545,50,53.539976
36.738148,50,54.850751
78.058881,50,54.890833
80.77973,50,54.928768
43.665264,50,54.962681
69.779893,50,55.005982
74.749673,50,55.038738
84.761587,50,55.067746
85.745748,50,55.096661
75.368232,50,55.125591
41.880693,50,55.153537
85.837544,50,55.182478
76.436259,50,55.211426
80.799671,50,55.240367
77.077989,50,55.269309
49.256017,50,55.298249
62.258764,50,55.326187
82.443187,50,55.354129
78.66955,50,55.383058
87.33255,50,55.414972
85.849765,50,55.443897
71.271094,50,55.47182
67.862578,50,55.50174
85.126734,50,55.529665
79.478498,50,55.55859
32.433537,50,55.586514
81.817339,50,55.614446
72.530125,50,55.642372
74.009394,50,55.670297
78.722862,50,55.698224
